Type,NO,Living,Working,Commerce,Healthcare,Education,Entertainment,servicios,micro servicios?,transporte,fe?
animal_hitch,,,,,,,,x,,,
archive,,,x,,,x,x,,,,
arts_centre,,,x,,,x,x,,,,
artwork,,,x,,,,x,,,,
baby_hatch,,x,x,,,,,,,,
baking_oven,,,x,,,,,,,,
bbq,,,,,,,x,,,,
bear_box,,,,,,,,,x,,
bench,x,,,,,,,,,,
boat_sharing,,,,,,,,x,,,
boat_storage,,,,,,,,x,,,
bts,x,,,,,,,,,,
building_yard,,,x,,,,,,,,
carpet_washing,,,,x,,,,,,,
car_pooling,,,,x,,,,,,,
car_rental,,,x,x,,,,,,,
car_repair,,,x,x,,,,,,,
car_sharing,,,,x,,,,,,,
car_wash,,,x,x,,,,,,,
casino,,,x,,,,x,,,,
chair,x,,,,,,,,,,
changing_room,,,,,,,,x,,,
charging_station,,,,,,,,x,,,
checkpoint,,,,,,,,x,,,
citymap_post,,,,,,,,x,,,
cloakroom,,,x,,,,,,,,
clock,x,,,,,,,,,,
clothes_dryer,,,,x,,,,,,,
club,,,,x,,,x,,,,
coast_guard,,,x,,,,,,,,
coast_radar_station,,,x,,,,,,,,
community_centre,,,x,,,x,x,,,,
concert_hall,,,x,,,,x,,,,
concession_stand,,,x,x,,,,,,,
conference_centre,,,x,,,x,,,,,
consulate,,,x,,,,,,,,
convention_centre,,,x,,,,x,,,,
courthouse,,,x,,,,,,,,
coworking_space,,,x,,,,,,,,
crematorium,,,x,,,,,,,,
crucifix,,,,,,,x,,,,
crypt,,,,,,,x,,,,
customs,x,,,,,,,,,,
dead_pub,x,,,,,,,,,,
device_charging_station,,,,,,,,x,,,
disused,x,,,,,,,,,,
dog_bin,x,,,,,,,,,,
dog_waste_bin,x,,,,,,,,,,
dormitory,,x,,,,,,,,,
dressing_room,,,,,,,,x,,,
drinking_water,x,,,,,,,,,,
driver_training,,,x,,,x,,,,,
dryer,,,,x,,,,,,,
education,,,,,,x,,,,,
embassy,,,x,,,,,,,,
