osmid,coord,building,amenity,geometry,services,bus
55311898,"(52.07578476525251, 5.09444117830743)",mosque,place_of_worship,"POLYGON ((5.0944076 52.0757075, 5.0943964 52.0757096, 5.0943856 52.0757124, 5.0943789 52.0757145, 5.0943695 52.0757179, 5.0943595 52.0757222, 5.0943503 52.0757271, 5.0943419 52.0757325, 5.0943343 52.0757384, 5.0943277 52.0757447, 5.0943211 52.0757528, 5.0943167 52.0757599, 5.0943135 52.0757673, 5.0943114 52.0757748, 5.0943105 52.0757824, 5.0943107 52.07579, 5.0943121 52.0757975, 5.0943146 52.075805, 5.0943183 52.0758122, 5.0943231 52.0758193, 5.0943289 52.075826, 5.0943357 52.0758323, 5.0943435 52.0758382, 5.0943521 52.0758437, 5.0943615 52.0758486, 5.0943717 52.0758529, 5.0943824 52.0758566, 5.0943937 52.0758597, 5.0944054 52.0758622, 5.0944174 52.0758639, 5.0944297 52.0758649, 5.094442 52.0758652, 5.0944543 52.0758648, 5.0944666 52.0758637, 5.0944785 52.0758618, 5.0944902 52.0758593, 5.0945014 52.0758561, 5.0945121 52.0758523, 5.0945221 52.0758479, 5.0945314 52.0758429, 5.0945399 52.0758374, 5.0945476 52.0758314, 5.0945542 52.075825, 5.0945599 52.0758182, 5.0945645 52.0758112, 5.094568 52.0758039, 5.0945704 52.0757964, 5.0945716 52.0757888, 5.0945717 52.0757812, 5.0945705 52.0757737, 5.0945683 52.0757662, 5.0945649 52.0757589, 5.0945604 52.0757518, 5.0945529 52.075743, 5.0945428 52.0757342, 5.0945347 52.0757285, 5.0945257 52.0757234, 5.094516 52.0757188, 5.0944961 52.0757114, 5.0944816 52.0757076, 5.0944706 52.0757057, 5.0944595 52.0757046, 5.0944482 52.0757042, 5.0944369 52.0757045, 5.0944193 52.0757058, 5.0944076 52.0757075))",['Entertainment'],Node_103
55312419,"(52.07310866015187, 5.097325568708405)",commercial,,"POLYGON ((5.0974195 52.0728296, 5.0969831 52.0733001, 5.0972318 52.0733877, 5.097668 52.0729171, 5.0974195 52.0728296))","['Working', 'Commerce']",Node_117
55525386,"(52.07207723248038, 5.093553447293046)",yes,,"POLYGON ((5.0930193 52.0717506, 5.0929978 52.0717435, 5.0928392 52.0719138, 5.0928449 52.0719158, 5.0931132 52.0720101, 5.0930153 52.0721159, 5.0930077 52.0721241, 5.092984 52.0721158, 5.0927559 52.0720356, 5.0927566 52.0720348, 5.0927401 52.0720291, 5.092734 52.0720269, 5.092652 52.072115, 5.0926315 52.0721371, 5.0926501 52.0721437, 5.0926537 52.072145, 5.0926541 52.0721446, 5.0931849 52.0723317, 5.0932331 52.0722798, 5.0933204 52.0723106, 5.0932723 52.0723624, 5.0933603 52.0723934, 5.0933042 52.0724538, 5.0936786 52.0725858, 5.0937961 52.0724591, 5.0938928 52.0723548, 5.0937991 52.0723218, 5.0938453 52.0722718, 5.0941215 52.0723691, 5.0943275 52.0721471, 5.0943356 52.0721384, 5.0942806 52.072119, 5.094002 52.072021, 5.0939643 52.0720077, 5.0939943 52.0719741, 5.0941043 52.071956, 5.0940965 52.0719381, 5.0940795 52.0718991, 5.0941252 52.0718916, 5.0940847 52.0717997, 5.093888 52.0718315, 5.0937996 52.0718003, 5.0939272 52.0716626, 5.0939371 52.071652, 5.0939191 52.0716456, 5.0938011 52.071604, 5.0937927 52.0716011, 5.0934766 52.0714897, 5.0934213 52.0715493, 5.093467 52.0715653, 5.0934499 52.0715837, 5.0937385 52.0716854, 5.0936732 52.0717558, 5.0936097 52.0717334, 5.0935996 52.0717442, 5.0935624 52.0717311, 5.0935709 52.0717218, 5.0933829 52.0716555, 5.0933008 52.0717441, 5.0932584 52.0717899, 5.0934836 52.0718693, 5.0934615 52.071893, 5.0933994 52.07196, 5.0929675 52.0718064, 5.0930182 52.0717518, 5.0930191 52.0717508, 5.0930193 52.0717506))","['Living', 'Working', 'Commerce', 'Healthcare']",Node_219
92356952,"(52.07776551709798, 5.086682666741981)",yes,,"POLYGON ((5.0869952 52.0777519, 5.0862785 52.0774981, 5.0862599 52.0775179, 5.0862307 52.0775507, 5.0862455 52.0775558, 5.0861746 52.0776317, 5.086174 52.0776315, 5.0861715 52.0776343, 5.0861657 52.0776322, 5.0861127 52.0776887, 5.0861284 52.0776942, 5.0861274 52.0776953, 5.0870678 52.078027, 5.0870685 52.0780262, 5.0870741 52.0780282, 5.0870899 52.0780114, 5.0870912 52.0780118, 5.0870944 52.0780084, 5.0870869 52.0780058, 5.0871191 52.0779715, 5.087128 52.0779747, 5.0871328 52.0779696, 5.0871319 52.0779693, 5.0872024 52.0778936, 5.087217 52.0778985, 5.0872643 52.0778472, 5.0869952 52.0777519))","['Living', 'Working', 'Commerce', 'Healthcare', 'Entertainment']",Node_5
115929437,"(52.06817065, 5.097442599999999)",roof,shelter,"POLYGON ((5.0974292 52.0681443, 5.0973988 52.0681768, 5.097456 52.068197, 5.0974864 52.0681645, 5.0974292 52.0681443))",['Working'],Node_46
115930024,"(52.071762287795586, 5.0967958704275995)",apartments,,"POLYGON ((5.0965905 52.0720718, 5.0966452 52.0720122, 5.0966465 52.0720126, 5.0966718 52.0719853, 5.0966705 52.0719849, 5.0967778 52.0718693, 5.0967791 52.0718698, 5.096804 52.0718429, 5.0968028 52.0718425, 5.0969121 52.0717244, 5.0969133 52.0717248, 5.0969379 52.0716986, 5.0969366 52.0716981, 5.0970449 52.0715814, 5.0970461 52.0715819, 5.0970709 52.0715554, 5.0970696 52.0715549, 5.097177 52.0714392, 5.0971782 52.0714397, 5.0971924 52.0714243, 5.0972028 52.0714131, 5.0972017 52.0714126, 5.0972578 52.0713521, 5.0971353 52.0713087, 5.0970772 52.0713714, 5.097076 52.0713709, 5.0970655 52.0713821, 5.0970562 52.0713922, 5.0970574 52.0713927, 5.0969446 52.0715143, 5.0969434 52.0715139, 5.0969339 52.0715241, 5.0969237 52.0715351, 5.0969249 52.0715355, 5.096812 52.0716571, 5.0968108 52.0716567, 5.096801 52.0716672, 5.0967912 52.0716778, 5.0967924 52.0716783, 5.0966776 52.0718019, 5.0966763 52.0718015, 5.0966666 52.0718119, 5.0966566 52.0718227, 5.0966579 52.0718232, 5.0965447 52.0719451, 5.0965436 52.0719445, 5.0965345 52.0719543, 5.0965241 52.0719655, 5.0965253 52.0719659, 5.0964125 52.0720875, 5.0964113 52.072087, 5.0964009 52.0720982, 5.0963914 52.0721084, 5.0963926 52.0721089, 5.0963346 52.0721716, 5.0964575 52.0722149, 5.0964587 52.0722136, 5.0965133 52.0721553, 5.0965153 52.072156, 5.0965407 52.0721287, 5.0965389 52.0721281, 5.0965905 52.0720718))",['Living'],Node_44
115930026,"(52.06858999886359, 5.100455120441649)",apartments,,"POLYGON ((5.1003489 52.0688034, 5.1004644 52.0686791, 5.1005871 52.0685471, 5.1005943 52.0685393, 5.1007114 52.068413, 5.1008339 52.0682809, 5.1008943 52.0682157, 5.1007555 52.0681667, 5.1004114 52.0685389, 5.1003896 52.0685623, 5.1003576 52.0685966, 5.1002967 52.0686619, 5.1002344 52.0687288, 5.1001715 52.0687963, 5.1001096 52.0688628, 5.1000467 52.0689302, 5.1000152 52.068964, 5.1001541 52.069013, 5.1002115 52.0689512, 5.1003367 52.0688165, 5.1003489 52.0688034))",['Living'],Node_61
115930029,"(52.068796658166995, 5.099548529016225)",apartments,,"POLYGON ((5.0996205 52.0686311, 5.0995641 52.0686919, 5.0995629 52.0686915, 5.0995509 52.0687043, 5.099543 52.0687128, 5.0995443 52.0687133, 5.0994297 52.0688369, 5.0994284 52.0688365, 5.0994187 52.0688469, 5.0994086 52.0688578, 5.0994098 52.0688583, 5.0992973 52.0689796, 5.0992961 52.0689792, 5.0992851 52.0689911, 5.0992762 52.0690006, 5.0992775 52.069001, 5.099165 52.0691224, 5.0991637 52.0691219, 5.0991533 52.0691331, 5.0991438 52.0691433, 5.0991451 52.0691437, 5.0990869 52.0692066, 5.0992092 52.0692498, 5.0992647 52.06919, 5.0992658 52.0691904, 5.0992911 52.069163, 5.09929 52.0691626, 5.0993972 52.069047, 5.0993983 52.0690474, 5.0994236 52.0690201, 5.0994224 52.0690197, 5.09953 52.0689042, 5.0995311 52.0689046, 5.099556 52.0688784, 5.0995545 52.0688778, 5.0996643 52.0687599, 5.0996656 52.0687605, 5.099691 52.0687332, 5.0996897 52.0687326, 5.0997974 52.0686169, 5.0997987 52.0686173, 5.0998228 52.0685917, 5.0998213 52.0685911, 5.1000093 52.0683874, 5.099887 52.0683439, 5.0998286 52.0684056, 5.0998276 52.0684055, 5.0998174 52.0684164, 5.0998076 52.0684267, 5.099809 52.0684274, 5.0996982 52.0685494, 5.0996976 52.06855, 5.0996965 52.0685495, 5.0996865 52.06856, 5.0996756 52.0685714, 5.099677 52.0685719, 5.0996205 52.0686311))",['Living'],Node_56
115930030,"(52.070030429420704, 5.0918850157758575)",apartments,,"POLYGON ((5.0918252 52.0700081, 5.0917704 52.0700667, 5.0917675 52.0700657, 5.0917419 52.0700932, 5.0917448 52.0700942, 5.0916367 52.0702093, 5.0916338 52.0702086, 5.0916088 52.0702355, 5.0916118 52.0702368, 5.0915942 52.0702563, 5.0915058 52.0703519, 5.0915028 52.0703507, 5.0914773 52.0703785, 5.0914803 52.0703795, 5.0914242 52.07044, 5.0915472 52.0704834, 5.0916057 52.0704194, 5.0916075 52.0704198, 5.0916175 52.0704088, 5.0916267 52.0703987, 5.0916252 52.0703982, 5.0917379 52.0702762, 5.0917398 52.0702766, 5.0917496 52.070266, 5.0917591 52.0702558, 5.0917574 52.0702551, 5.0917917 52.0702188, 5.0918693 52.0701348, 5.091871 52.0701352, 5.0918812 52.0701246, 5.0918909 52.0701145, 5.091889 52.0701135, 5.0920046 52.0699891, 5.0920064 52.0699896, 5.0920169 52.0699782, 5.0920254 52.0699689, 5.0920237 52.0699683, 5.0921366 52.0698458, 5.0921388 52.0698461, 5.092148 52.069836, 5.0921581 52.069825, 5.0921562 52.0698245, 5.0922694 52.0697044, 5.0922706 52.069705, 5.0922807 52.0696941, 5.0922905 52.0696835, 5.0922889 52.0696829, 5.0923488 52.0696202, 5.0922255 52.0695769, 5.0921697 52.0696365, 5.0921675 52.0696357, 5.092142 52.0696632, 5.0921445 52.0696641, 5.0920377 52.0697791, 5.0920347 52.0697781, 5.0920093 52.0698055, 5.0920118 52.0698065, 5.0919051 52.0699229, 5.0919021 52.0699219, 5.0918764 52.0699491, 5.0918794 52.0699502, 5.0918252 52.0700081))",['Living'],Node_19
115930032,"(52.07128888832399, 5.0939770730651475)",apartments,,"POLYGON ((5.0938452 52.0712927, 5.0940418 52.071362, 5.0940413 52.0713626, 5.0940597 52.0713691, 5.0940761 52.0713749, 5.0940766 52.0713743, 5.0942736 52.0714439, 5.0942732 52.0714444, 5.0942933 52.0714515, 5.0943078 52.0714566, 5.0943083 52.0714561, 5.0945054 52.0715256, 5.0945049 52.0715262, 5.0945243 52.071533, 5.0945397 52.0715385, 5.0945402 52.0715379, 5.0946421 52.0715739, 5.0947124 52.0714982, 5.0946151 52.0714639, 5.0946164 52.0714625, 5.0945735 52.0714474, 5.0945724 52.0714487, 5.0943839 52.0713823, 5.0943851 52.071381, 5.0943408 52.0713653, 5.0943395 52.0713666, 5.0939153 52.0712169, 5.0939161 52.0712161, 5.093873 52.071201, 5.0938722 52.0712018, 5.0936861 52.0711361, 5.0936873 52.0711348, 5.0936436 52.0711194, 5.0936425 52.0711207, 5.0934527 52.0710537, 5.093454 52.0710525, 5.0934104 52.0710373, 5.0934094 52.0710384, 5.0933117 52.0710039, 5.0932414 52.0710796, 5.0933433 52.0711155, 5.0933428 52.0711161, 5.0933598 52.0711221, 5.0933776 52.0711284, 5.0933781 52.0711278, 5.093575 52.0711973, 5.0935745 52.0711979, 5.0935924 52.0712042, 5.0936092 52.0712101, 5.0936097 52.0712095, 5.0938068 52.0712791, 5.0938063 52.0712796, 5.0938256 52.0712864, 5.0938411 52.0712919, 5.0938416 52.0712914, 5.0938452 52.0712927))",['Living'],Node_30
